date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:29	378001/378001	---MCZ	200	added ('OK')	text/html	etag:cacheable:26e2326baa39e6f477392cd2f04e06f9	https://itcstore.in/pages/fabelle-chocolate	C:/My%20Web%20Sites/ITC/itcstore.in/pages/fabelle-chocolate.html	(from https://itcstore.in/)
13:32:29	407247/407247	---MCZ	200	added ('OK')	text/html	etag:cacheable:00b4cb57dbac6a0b108d3d058d4d0f57	https://itcstore.in/pages/fabelle-luxury-chocolates	C:/My%20Web%20Sites/ITC/itcstore.in/pages/fabelle-luxury-chocolates.html	(from https://itcstore.in/)
13:32:30	371890/371890	---MCZ	200	added ('OK')	text/html	etag:cacheable:9e2f619eac51db68e3573ffda2bc6561	https://itcstore.in/collections/frozen-food	C:/My%20Web%20Sites/ITC/itcstore.in/collections/frozen-food.html	(from https://itcstore.in/)
13:32:31	388424/388424	---MCZ	200	added ('OK')	text/html	etag:cacheable:269a63f64e73e14231240ee4d0fc18e8	https://itcstore.in/pages/itc-master-chef-frozen-snacks	C:/My%20Web%20Sites/ITC/itcstore.in/pages/itc-master-chef-frozen-snacks.html	(from https://itcstore.in/)
13:32:31	391584/391584	---MCZ	200	added ('OK')	text/html	etag:cacheable:6568d0a10da52b014346f2a20b5e6417	https://itcstore.in/pages/itc-master-chef-frozen-prawns	C:/My%20Web%20Sites/ITC/itcstore.in/pages/itc-master-chef-frozen-prawns.html	(from https://itcstore.in/)
13:32:32	382684/382684	---MCZ	200	added ('OK')	text/html	etag:cacheable:e1c3e0c4c26269e8c68167e58989eab0	https://itcstore.in/pages/farmland	C:/My%20Web%20Sites/ITC/itcstore.in/pages/farmland.html	(from https://itcstore.in/)
13:32:33	372214/372214	---MCZ	200	added ('OK')	text/html	etag:cacheable:3be648981546333663d3568108d07e25	https://itcstore.in/collections/personal-care	C:/My%20Web%20Sites/ITC/itcstore.in/collections/personal-care.html	(from https://itcstore.in/)
13:32:33	386174/386174	---MCZ	200	added ('OK')	text/html	etag:cacheable:2883a125690f93f494a2a536b6ac2691	https://itcstore.in/pages/savlon	C:/My%20Web%20Sites/ITC/itcstore.in/pages/savlon.html	(from https://itcstore.in/)
13:32:33	370746/370746	---MCZ	200	added ('OK')	text/html	etag:cacheable:abf0dba91da456fb1e54d43f9ced0821	https://itcstore.in/collections/savlon-antiseptic	C:/My%20Web%20Sites/ITC/itcstore.in/collections/savlon-antiseptic.html	(from https://itcstore.in/)
13:32:34	370897/370897	---MCZ	200	added ('OK')	text/html	etag:cacheable:d6fc832343a279adec10bba5c5d0a562	https://itcstore.in/collections/savlon-body-wash-shower-gel	C:/My%20Web%20Sites/ITC/itcstore.in/collections/savlon-body-wash-shower-gel.html	(from https://itcstore.in/)
